pr,year,month,iso
7.07799,1979,6,DZA
1.22357,1979,7,DZA
5.14747,1979,8,DZA
12.3801,1979,9,DZA
11.7093,1979,10,DZA
5.37375,1979,11,DZA
4.3953,1979,12,DZA
11.5011,1980,1,DZA
7.48024,1980,2,DZA
15.8005,1980,3,DZA
9.51928,1980,4,DZA
4.95303,1980,5,DZA
1.03867,1980,6,DZA
1.30559,1980,7,DZA
4.12273,1980,8,DZA
5.12751,1980,9,DZA
2.93328,1980,10,DZA
16.5447,1980,11,DZA
18.7283,1980,12,DZA
3.32324,1981,1,DZA
9.10799,1981,2,DZA
5.03126,1981,3,DZA
7.03498,1981,4,DZA
3.08046,1981,5,DZA
6.11636,1981,6,DZA
3.54654,1981,7,DZA
5.31469,1981,8,DZA
3.95434,1981,9,DZA
2.29114,1981,10,DZA
1.31757,1981,11,DZA
5.76184,1981,12,DZA
9.41016,1982,1,DZA
10.9246,1982,2,DZA
10.0104,1982,3,DZA
16.769,1982,4,DZA
8.8469,1982,5,DZA
2.51025,1982,6,DZA
0.53492,1982,7,DZA
3.7038,1982,8,DZA
3.1487,1982,9,DZA
11.0184,1982,10,DZA
18.3117,1982,11,DZA
8.07443,1982,12,DZA
0.87366,1983,1,DZA
9.10078,1983,2,DZA
3.88069,1983,3,DZA
2.93849,1983,4,DZA
5.68189,1983,5,DZA
3.56366,1983,6,DZA
1.3347,1983,7,DZA
6.87967,1983,8,DZA
1.06022,1983,9,DZA
2.25868,1983,10,DZA
4.06269,1983,11,DZA
4.85216,1983,12,DZA
6.77268,1984,1,DZA
