tas,year,month,country
13.1082,1970,12,DZA
12.3883,1971,1,DZA
14.3171,1971,2,DZA
17.5738,1971,3,DZA
22.2491,1971,4,DZA
25.381,1971,5,DZA
30.1808,1971,6,DZA
32.0321,1971,7,DZA
32.0758,1971,8,DZA
28.3362,1971,9,DZA
22.1038,1971,10,DZA
15.9949,1971,11,DZA
13.2337,1971,12,DZA
11.8217,1972,1,DZA
14.9789,1972,2,DZA
17.4994,1972,3,DZA
20.8966,1972,4,DZA
24.4941,1972,5,DZA
29.9372,1972,6,DZA
32.5617,1972,7,DZA
31.3576,1972,8,DZA
28.5984,1972,9,DZA
23.4901,1972,10,DZA
17.7728,1972,11,DZA
12.3536,1972,12,DZA
11.0279,1973,1,DZA
13.0232,1973,2,DZA
16.3267,1973,3,DZA
21.7264,1973,4,DZA
28.3308,1973,5,DZA
31.0036,1973,6,DZA
32.8348,1973,7,DZA
31.8906,1973,8,DZA
29.1,1973,9,DZA
23.0067,1973,10,DZA
17.1888,1973,11,DZA
11.8921,1973,12,DZA
12.0355,1974,1,DZA
13.3659,1974,2,DZA
17.3225,1974,3,DZA
20.1644,1974,4,DZA
27.2336,1974,5,DZA
30.6721,1974,6,DZA
31.3698,1974,7,DZA
31.3493,1974,8,DZA
28.5509,1974,9,DZA
21.4906,1974,10,DZA
16.352,1974,11,DZA
12.2063,1974,12,DZA
11.4209,1975,1,DZA
13.8593,1975,2,DZA
16.8463,1975,3,DZA
21.8039,1975,4,DZA
25.2696,1975,5,DZA
30.332,1975,6,DZA
32.4383,1975,7,DZA
31.9418,1975,8,DZA
27.7371,1975,9,DZA
23.0018,1975,10,DZA
15.671,1975,11,DZA
13.8674,1975,12,DZA
10.6723,1976,1,DZA
12.9537,1976,2,DZA
15.4713,1976,3,DZA
20.5317,1976,4,DZA
25.5976,1976,5,DZA
30.126,1976,6,DZA
32.36,1976,7,DZA
31.5545,1976,8,DZA
28.2883,1976,9,DZA
22.6903,1976,10,DZA
15.7974,1976,11,DZA
13.7788,1976,12,DZA
13.3331,1977,1,DZA
16.0914,1977,2,DZA
18.7688,1977,3,DZA
23.03,1977,4,DZA
26.1917,1977,5,DZA
30.5514,1977,6,DZA
32.6206,1977,7,DZA
31.2162,1977,8,DZA
28.1569,1977,9,DZA
23.2465,1977,10,DZA
17.1898,1977,11,DZA
13.8618,1977,12,DZA
12.6497,1978,1,DZA
16.9626,1978,2,DZA
18.4931,1978,3,DZA
21.4351,1978,4,DZA
26.3036,1978,5,DZA
30.3013,1978,6,DZA
32.1808,1978,7,DZA
31.7033,1978,8,DZA
28.0352,1978,9,DZA
22.1727,1978,10,DZA
16.8068,1978,11,DZA
14.9396,1978,12,DZA
15.6092,1979,1,DZA
14.975,1979,2,DZA
18.5114,1979,3,DZA
20.9268,1979,4,DZA
26.2443,1979,5,DZA
31.2828,1979,6,DZA
32.8304,1979,7,DZA
32.5564,1979,8,DZA
28.9873,1979,9,DZA
24.2068,1979,10,DZA
16.2525,1979,11,DZA
13.0277,1979,12,DZA
12.8991,1980,1,DZA
15.5813,1980,2,DZA
17.9444,1980,3,DZA
22.5455,1980,4,DZA
25.8197,1980,5,DZA
31.4222,1980,6,DZA
32.0557,1980,7,DZA
32.414,1980,8,DZA
29.0453,1980,9,DZA
23.1471,1980,10,DZA
17.9104,1980,11,DZA
11.1773,1980,12,DZA
10.0865,1981,1,DZA
14.0275,1981,2,DZA
19.9215,1981,3,DZA
23.1328,1981,4,DZA
26.946,1981,5,DZA
31.224,1981,6,DZA
31.9747,1981,7,DZA
31.4275,1981,8,DZA
29.0268,1981,9,DZA
24.4011,1981,10,DZA
17.0202,1981,11,DZA
14.5576,1981,12,DZA
12.6086,1982,1,DZA
14.4392,1982,2,DZA
18.2705,1982,3,DZA
22.5623,1982,4,DZA
26.3084,1982,5,DZA
32.5544,1982,6,DZA
34.3326,1982,7,DZA
32.1389,1982,8,DZA
29.2937,1982,9,DZA
23.3484,1982,10,DZA
16.4791,1982,11,DZA
11.5901,1982,12,DZA
10.7091,1983,1,DZA
14.6933,1983,2,DZA
17.9857,1983,3,DZA
23.0928,1983,4,DZA
27.4545,1983,5,DZA
31.5653,1983,6,DZA
33.3961,1983,7,DZA
32.2934,1983,8,DZA
29.2289,1983,9,DZA
23.1209,1983,10,DZA
19.1239,1983,11,DZA
13.165,1983,12,DZA
11.6407,1984,1,DZA
13.6167,1984,2,DZA
17.8502,1984,3,DZA
23.067,1984,4,DZA
25.6854,1984,5,DZA
30.898,1984,6,DZA
33.334,1984,7,DZA
